2021-05-21 14:56:06,029:root:Just an information
2021-05-21 14:59:20,576:root:3
2021-05-21 14:59:20,576:root:4
2021-05-21 14:59:20,576:root:5
2021-05-21 14:59:20,577:root:6
2021-05-21 15:00:10,928:root:Hello world
2021-05-21 15:02:35,335:root:Hello world
2021-05-21 15:02:38,117:root:Hello world
2021-05-21 15:05:22,012:root:kunalAgrawal
2021-05-21 15:06:27,469:root:4
2021-05-21 15:07:02,545:root:13
2021-05-21 15:07:36,684:root:24
2021-05-21 15:08:23,089:root:5
2021-05-21 15:08:23,090:root:6
2021-05-21 15:08:57,790:root:126
2021-05-21 15:10:28,076:root:1
2021-05-21 15:10:30,056:root:1
2021-05-21 15:20:15,352:root:5040
2021-05-21 15:24:47,029:root:4
2021-05-21 15:25:24,094:root:5
2021-05-21 15:25:52,970:root:7
2021-05-21 15:26:33,164:root:[2, 4]
2021-05-21 15:27:08,326:root:['a', 'ab', 'anc']
2021-05-21 16:35:11,556:root:[1, 2, 3, 4, 5]
2021-05-21 16:35:11,556:root:[1, 4, 9, 16, 25]
2021-05-21 16:35:56,592:root:15
2021-05-21 16:36:59,418:root:105355568
2021-05-21 16:36:59,419:root:105355568
2021-05-21 16:38:57,231:root:[1, 4, 9, 16, 25]
2021-05-21 16:40:01,187:root:7.25
2021-05-21 16:40:01,188:root:5.830951894845301
2021-05-21 16:40:01,188:root:5.0
2021-05-21 16:40:01,188:root:5.77
2021-05-21 16:40:01,188:root:6
2021-05-21 16:40:01,188:root:-1
2021-05-21 16:40:25,794:root:7.25
2021-05-21 16:40:25,794:root:5.830951894845301
2021-05-21 16:40:25,794:root:5.0
2021-05-21 16:40:25,794:root:5.77
2021-05-21 16:40:25,794:root:6
2021-05-21 16:40:25,794:root:-1
2021-05-21 16:40:25,794:root:[-0.341111    1.45509899  4.232323   -0.3432326   7.626632    5.122323  ]
2021-05-21 16:43:40,649:root:15.46
2021-05-21 16:43:40,650:root:15.45
2021-05-21 16:43:40,650:root:15.46
2021-05-21 16:43:40,651:root:15.45
2021-05-21 16:43:40,652:root:15.46
2021-05-21 16:43:40,653:root:15.46
2021-05-21 16:43:40,653:root:15.46
2021-05-21 16:46:29,155:root:[3, 4, 5]
